date,exch,cc_code,underly_code,type_code,prod_name,fut_date,opt_date,opt_strike,valuation_meth,max_array_value,contr_value_fact,sett_p,sett_meth,time_to_expr,margin_rate,base_volat,volat_scan_range,price_model
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,49,EQTY ,9,1000,0.01,CASH ,0.005479,0.9,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,49,EQTY ,3300,1000,3.3,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,49.5,EQTY ,4,1000,0.01,CASH ,0.005479,0.4,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,49.5,EQTY ,3800,1000,3.8,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,50,EQTY ,1,1000,0.01,CASH ,0.005479,0.1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,50,EQTY ,4290,1000,4.29,CASH ,0.005479,1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,50.5,EQTY ,1,1000,0.01,CASH ,0.005479,0.1,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,50.5,EQTY ,4569,1000,4.79,CASH ,0.005479,0.9538622,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,51,EQTY ,0,1000,0.01,CASH ,0.005479,0,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,51,EQTY ,4694,1000,5.29,CASH ,0.005479,0.8873346,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,51.5,EQTY ,0,1000,0.01,CASH ,0.005479,0,0,42,B
2020-12-09,NYM,C11,CL,OOF,C11 SHORT TERM ,2021-01-01,2020-12-01,51.5,EQTY ,4738,1000,5.79,CASH ,0.005479,0.8183074,0,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,40.5,EQTY ,4750,1000,5.21,CASH ,0.00274,0.9117083,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,40.5,EQTY ,0,1000,0.01,CASH ,0.00274,0,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,41,EQTY ,4520,1000,4.71,CASH ,0.00274,0.9596603,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,41,EQTY ,0,1000,0.01,CASH ,0.00274,0,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,41.5,EQTY ,4020,1000,4.21,CASH ,0.00274,0.9548694,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,41.5,EQTY ,0,1000,0.01,CASH ,0.00274,0,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,42,EQTY ,3521,1000,3.71,CASH ,0.00274,0.9490566,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,42,EQTY ,1,1000,0.01,CASH ,0.00274,0.1,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,42.5,EQTY ,3023,1000,3.22,CASH ,0.00274,0.9388199,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,42.5,EQTY ,3,1000,0.01,CASH ,0.00274,0.3,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,43,EQTY ,2531,1000,2.72,CASH ,0.00274,0.9305147,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,43,EQTY ,10,1000,0.01,CASH ,0.00274,1,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,43.5,EQTY ,2050,1000,2.24,CASH ,0.00274,0.9151786,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,43.5,EQTY ,30,1000,0.03,CASH ,0.00274,1,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,44,EQTY ,1570,1000,1.76,CASH ,0.00274,0.8920455,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,44,EQTY ,50,1000,0.05,CASH ,0.00274,1,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,44.5,EQTY ,1120,1000,1.31,CASH ,0.00274,0.8549618,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,44.5,EQTY ,100,1000,0.1,CASH ,0.00274,1,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,45,EQTY ,720,1000,0.91,CASH ,0.00274,0.7912088,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,45,EQTY ,200,1000,0.2,CASH ,0.00274,1,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,45.5,EQTY ,380,1000,0.57,CASH ,0.00274,0.6666667,0.25,42,B
2020-12-09,NYM,C10,CL,OOF,C10 SHORT TERM ,2021-01-01,2020-12-01,45.5,EQTY ,360,1000,0.36,CASH ,0.00274,1,0.25,42,B
